fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct,image_url
ALEXANDRE PANTOJA,30-5-0,8,12,10,50%,935,1859,48%,3,84,4.36,3.88,2.8,0.98,50%,69%,0.28,12:37,759,81%,93,10%,83,9%,593,63%,201,21%,141,15%,8,27%,10,33%,12,40%,https://www.ufc.com/athlete/alexandre-pantoja,Flyweight,70.13,35.06,80.52,75.71,67.69,76.62,71.43,60.39,https://justinyung1214.github.io/3179/champ_photos/PANTOJA_ALEXANDRE_L_BELT_06-28.jpg
MERAB DVALISHVILI,21-4-0,3,2,,42%,1074,2533,36%,17,272,4.31,2.48,5.84,0.3,56%,83%,0.06,16:36,646,60%,157,15%,271,25%,689,64%,194,18%,191,18%,3,14%,16,76%,2,10%,https://www.ufc.com/athlete/merab-dvalishvili,Bantamweight,31.65,57.73,61.82,54.90,77.60,97.27,50.45,45.45,https://justinyung1214.github.io/3179/champ_photos/DVALISHVILI_MERAB_L_BELT_10-04.jpg
ALEXANDER VOLKANOVSKI,27-4-0,13,3,7,57%,1717,3018,34%,16,90,6.18,3.36,1.67,0.16,59%,70%,0.32,16:21,1299,76%,151,9%,267,16%,1108,65%,424,11%,424,25%,13,48%,11,41%,3,11%,https://www.ufc.com/athlete/alexander-volkanovski,Featherweight,86.24,75.69,82.57,45.88,49.43,59.17,46.79,55.50,https://justinyung1214.github.io/3179/champ_photos/VOLKANOVSKI_ALEXANDER_L_BELT_02-17.jpg
ILIA TOPURIA,17-0-0,7,8,11,48%,405,840,61%,5,18,4.81,3.83,1.96,1.07,64%,94%,1.25,9:22,319,79%,12,3%,74,18%,288,71%,69,17%,48,12%,7,41%,2,12%,8,47%,https://www.ufc.com/athlete/ilia-topuria,Lightweight,46.51,90.63,65.89,93.64,88.99,70.93,83.72,96.12,https://justinyung1214.github.io/3179/champ_photos/TOPURIA_ILIA_L_BELT_10-26.jpg
JACK DELLA MADDALENA,18-2-0,12,2,8,52%,,,11%,,,6.84,4.53,0.16,0.2,64%,69%,1.3,7:50,83,77%,7,6%,18,17%,81,75%,22,20%,5,5%,12,67%,4,22%,2,11%,https://www.ufc.com/athlete/dzhek-della-maddalena,Welterweight ,69.63,93.40,91.59,14.74,56.70,24.30,56.54,90.65,https://justinyung1214.github.io/3179/champ_photos/DELLA_MADDALENA_JACK_L_BELTMOCK.jpg
KHAMZAT CHIMAEV,15-0-0,6,6,9,61%,298,490,55%,4,47,4.04,2.32,5.29,1.83,43%,86%,0.41,8:11,125,42%,11,4%,162,54%,249,84%,26,8%,40,9%,6,40%,3,20%,6,40%,https://www.ufc.com/athlete/khamzat-chimaev,Middleweight,89.11,26.47,56.86,83.91,77.78,91.18,95.10,67.65,https://justinyung1214.github.io/3179/champ_photos/CHIMAEV_KHAMZAT_L_BELTMOCK.jpg
ALEX PEREIRA,13-3-0,11,,5,62%,685,1103,50%,,2,5.16,3.5,0.11,0.23,54%,79%,0.79,11:04,554,81%,72,11%,59,9%,323,47%,183,26%,183,27%,11,85%,2,15%,0,0%,https://www.ufc.com/athlete/alex-pereira,Light Heavyweight,87.30,66.67,79.37,81.52,62.96,39.68,74.60,79.37,https://justinyung1214.github.io/3179/champ_photos/PEREIRA_ALEX_L_BELT_03-08.jpg
TOM ASPINALL,15-3-0,12,3,14,67%,148,220,100%,2,4,8.07,2.89,3.27,1.63,65%,100%,4.09,2:02,81,55%,17,11%,50,34%,105,71%,25,12%,80,17%,12,80%,0,0%,3,20%,https://www.ufc.com/athlete/tom-aspinall,Heavyweight,96.49,96.49,94.83,98.94,92.11,86.21,94.83,94.83,https://justinyung1214.github.io/3179/champ_photos/ASPINALL_TOM_BELT_L_07-27.jpg
KAYLA HARRISON,19-1-0,6,8,9,62%,136,219,38%,2,16,4.29,1.1,2.84,0.95,66%,100%,0,10:34,40,29%,24,18%,72,53%,97,71%,27,20%,32,9%,6,32%,5,26%,8,42%,https://www.ufc.com/athlete/kayla-harrison,Women's Bantamweight,100.00,89.06,65.63,56.25,94.83,90.63,87.50,29.69,https://justinyung1214.github.io/3179/champ_photos/HARRISON_KAYLA_L_BELTMOCK.jpg
VALENTINA SHEVCHENKO,25-4-1,8,7,6,52%,1059,2022,60%,12,98,3.14,2.06,2.62,0.31,63%,76%,0.09,18:44,763,72%,96,9%,200,19%,701,66%,222,13%,222,21%,8,32%,10,40%,7,28%,https://www.ufc.com/athlete/valentina-shevchenko,Women's Flyweight,78.41,90.91,27.27,85.71,75.00,93.18,44.32,61.36,https://justinyung1214.github.io/3179/champ_photos/SHEVCHENKO_VALENTINA_BELT_L_05-10.jpg
ZHANG WEILI,26-3-0,11,8,11,54%,897,1665,46%,1,57,5.15,2.77,2.24,0.52,54%,74%,0.26,14:31,527,59%,75,8%,295,33%,539,60%,146,16%,212,24%,11,42%,7,27%,8,31%,https://www.ufc.com/athlete/weili-zhang,Women's Strawweight,81.03,50.00,79.31,56.86,61.22,77.59,70.69,81.03,https://justinyung1214.github.io/3179/champ_photos/ZHANG_WEILI_L_BELT_02-08.jpg
